Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Hydroxychloroquine,Site2,With_Water,0.24542937,0,
Hydroxychloroquine,Site2,With_Water,0.32566696,0.204942171,
Hydroxychloroquine,Site2,Without_Water,0,0,
Hydroxychloroquine,Site2,Without_Water,0.22949801,0,
Hydroxychloroquine,Site2,Without_Water,0.09803248,0,
Hydroxychloroquine,Site2,Without_Water,0.27009642,0.149406728,
Hydroxychloroquine,Site3d,With_Water,0,0,
Hydroxychloroquine,Site3d,With_Water,0.101728566,0,
Hydroxychloroquine,Site3d,With_Water,0.16147761,0,
Hydroxychloroquine,Site3d,With_Water,0.15474063,0.104486702,
Hydroxychloroquine,Site3d,Without_Water,0,0,
Hydroxychloroquine,Site3d,Without_Water,0.29814458,0,
Hydroxychloroquine,Site3d,Without_Water,0.17808998,0,
Hydroxychloroquine,Site3d,Without_Water,0.20431918,0.170138435,
Hydroxychloroquine,Site3m,With_Water,0,0,
Hydroxychloroquine,Site3m,With_Water,0.22027168,0,
Hydroxychloroquine,Site3m,With_Water,0.23993646,0,
Hydroxychloroquine,Site3m,With_Water,0.2371015,0.17432741,
Hydroxychloroquine,Site3m,Without_Water,0,0,
Hydroxychloroquine,Site3m,Without_Water,0.25462034,0,
Hydroxychloroquine,Site3m,Without_Water,0.20520434,0,
Hydroxychloroquine,Site3m,Without_Water,0.25910896,0.17973341,
Hypericin,Site1,With_Water,0,0,
Hypericin,Site1,With_Water,0.000677626,0,
Hypericin,Site1,With_Water,0.071194366,0,
Hypericin,Site1,With_Water,0.008659507,0.020132875,
Hypericin,Site1,Without_Water,0,0,
Hypericin,Site1,Without_Water,0.04564455,0,
Hypericin,Site1,Without_Water,0.002644544,0,
Hypericin,Site1,Without_Water,0.050321843,0.024652734,
Hypericin,Site2,With_Water,0,0,
Hypericin,Site2,With_Water,0.06799075,0,
Hypericin,Site2,With_Water,0.041677684,0,
Hypericin,Site2,With_Water,0.04769334,0.039340444,
Hypericin,Site2,Without_Water,0.00018794,0,
Hypericin,Site2,Without_Water,0.001953125,0,
Hypericin,Site2,Without_Water,0.04602332,0,
Hypericin,Site2,Without_Water,0.00370198,0.012966591,
Hyperoside,Site1,With_water,0,0,
Hyperoside,Site1,With_water,0.25276938,0,
Hyperoside,Site1,With_water,0.26360732,0,
Hyperoside,Site1,With_water,0.28009164,0.199117085,
Hyperoside,Site1,Without_water,0,0,
Hyperoside,Site1,Without_water,0.26659384,0,
Hyperoside,Site1,Without_water,0.26948592,0,
Hyperoside,Site1,Without_water,0.057504807,0.148396142,
Hyperoside,Site2,With_water,0,0,
Hyperoside,Site2,With_water,0.13731955,0,
Hyperoside,Site2,With_water,0.3161291,0,
Hyperoside,Site2,With_water,0.30034372,0.188448093,
Hyperoside,Site2,Without_water,0.000189704,0,
Hyperoside,Site2,Without_water,0.32507262,0,
Hyperoside,Site2,Without_water,0.25077972,0,
Hyperoside,Site2,Without_water,0.32948345,0.226381374,
Hyperoside,Site3d,With_water,0,0,
Hyperoside,Site3d,With_water,0.027065288,0,
Hyperoside,Site3d,With_water,0.16675124,0,
Hyperoside,Site3d,With_water,0.22576378,0.104895077,
Hyperoside,Site3d,Without_water,0,0,
Hyperoside,Site3d,Without_water,0.2773979,0,
Hyperoside,Site3d,Without_water,0.09949189,0,
Hyperoside,Site3d,Without_water,0.12755084,0.126110158,
Hyperoside,Site3m,With_water,0,0,
Hyperoside,Site3m,With_water,0.019251946,0,
Hyperoside,Site3m,With_water,0.2870492,0,
Hyperoside,Site3m,With_water,0.26691356,0.143303677,
Hyperoside,Site3m,Without_water,0,0,
Hyperoside,Site3m,Without_water,0.17417486,0,
Hyperoside,Site3m,Without_water,0.08415047,0,
Hyperoside,Site3m,Without_water,0.20363028,0.115488903,
Ivermectin,Site1,With_Water,0.000236851,0,
Ivermectin,Site1,With_Water,0.42828742,0,
Ivermectin,Site1,With_Water,0.19635879,0,
Ivermectin,Site1,With_Water,0.34352103,0.242101023,
Ivermectin,Site1,Without_Water,0,0,
Ivermectin,Site1,Without_Water,0.18850677,0,
Ivermectin,Site1,Without_Water,0.31494397,0,
Ivermectin,Site1,Without_Water,0.3137033,0.20428851,
Ivermectin,Site2,With_Water,0,0,
Ivermectin,Site2,With_Water,0.036593318,0,
Ivermectin,Site2,With_Water,0.53189504,0,
Ivermectin,Site2,With_Water,0.5447899,0.278319565,
Ivermectin,Site2,Without_Water,0,0,
Ivermectin,Site2,Without_Water,0.06091636,0,
Ivermectin,Site2,Without_Water,0.38599116,0,
Ivermectin,Site2,Without_Water,0.39262792,0.20988386,
Ivermectin,Site3d,With_Water,0.000236851,0,
Ivermectin,Site3d,With_Water,0.00652094,0,
Ivermectin,Site3d,With_Water,0.4846187,0,
Ivermectin,Site3d,With_Water,0.4701422,0.240379673,
Ivermectin,Site3d,Without_Water,0,0,
Ivermectin,Site3d,Without_Water,0.12595497,0,
Ivermectin,Site3d,Without_Water,0.34043643,0,
Ivermectin,Site3d,Without_Water,0.3442715,0.202665725,
Ivermectin,Site3m,With_Water,0.000236851,0,
Ivermectin,Site3m,With_Water,0.16348413,0,
Ivermectin,Site3m,With_Water,0.42162168,0,
Ivermectin,Site3m,With_Water,0.4472374,0.258145015,
Ivermectin,Site3m,Without_Water,0,0,
Ivermectin,Site3m,Without_Water,0.04523362,0,
Ivermectin,Site3m,Without_Water,0.49752182,0,
Ivermectin,Site3m,Without_Water,0.29011574,0.208217795,
Myricetin,Site1,With_Water,0.000240413,0,
Myricetin,Site1,With_Water,0.1719756,0,
Myricetin,Site1,With_Water,0.17168969,0,
Myricetin,Site1,With_Water,0.17466898,0.129643671,
Myricetin,Site1,Without_Water,0,0,
Myricetin,Site1,Without_Water,0.21500866,0,
Myricetin,Site1,Without_Water,0.059057508,0,
Myricetin,Site1,Without_Water,0.059943903,0.083502518,
Myricetin,Site2,With_Water,0.000169998,0,
Myricetin,Site2,With_Water,0.21238872,0,
Myricetin,Site2,With_Water,0.07066631,0,
Myricetin,Site2,With_Water,0.06850908,0.087933527,
Myricetin,Site2,Without_Water,0,0,
Myricetin,Site2,Without_Water,0.20947361,0,
Myricetin,Site2,Without_Water,0.21345194,0,
Myricetin,Site2,Without_Water,0.21263757,0.15889078,
Myricetin,Site3d,With_Water,0,0,
Myricetin,Site3d,With_Water,0.003701112,0,
Myricetin,Site3d,With_Water,0.004350746,0,
Myricetin,Site3d,With_Water,0.004618184,0.003167511,
Myricetin,Site3d,Without_Water,0,0,
Myricetin,Site3d,Without_Water,0.007009185,0,
Myricetin,Site3d,Without_Water,0.14826588,0,
Myricetin,Site3d,Without_Water,0.13550556,0.072695156,
Myricetin,Site3m,With_Water,0,0,
Myricetin,Site3m,With_Water,0.011556094,0,
Myricetin,Site3m,With_Water,0.013833678,0,
Myricetin,Site3m,With_Water,0.014530579,0.009980088,
Myricetin,Site3m,Without_Water,0,0,
Myricetin,Site3m,Without_Water,0.06240653,0,
Myricetin,Site3m,Without_Water,0.21379785,0,
Myricetin,Site3m,Without_Water,0.052414734,0.082154779,
Nelfinavir,Site1,With_water,0,0,
Nelfinavir,Site1,With_water,0.36734146,0,
Nelfinavir,Site1,With_water,0.41159898,0,
Nelfinavir,Site1,With_water,0.3728947,0.287958785,
Nelfinavir,Site2,With_water,0,0,
Nelfinavir,Site2,With_water,0.29021004,0,
Nelfinavir,Site2,With_water,0.30225796,0,
Nelfinavir,Site2,With_water,0.27917123,0.217909808,
Nelfinavir,Site2,Without_water,0,0,
Nelfinavir,Site2,Without_water,0.15443984,0,
Nelfinavir,Site2,Without_water,0.3396936,0,
Nelfinavir,Site2,Without_water,0.2749596,0.19227326,
Nelfinavir,Site3d,With_water,0.000210611,0,
Nelfinavir,Site3d,With_water,0.21385075,0,
Nelfinavir,Site3d,With_water,0.47485313,0,
Nelfinavir,Site3d,With_water,0.46755448,0.289117243,
Nelfinavir,Site3d,Without_water,0,0,
Nelfinavir,Site3d,Without_water,0.06297512,0,
Nelfinavir,Site3d,Without_water,0.2578286,0,
Nelfinavir,Site3d,Without_water,0.28872955,0.152383318,
Nelfinavir,Site3m,With_water,0,0,
Nelfinavir,Site3m,With_water,0.18392192,0,
Nelfinavir,Site3m,With_water,0.44558695,0,
Nelfinavir,Site3m,With_water,0.48221266,0.277930383,
Nelfinavir,Site3m,Without_water,0,0,
Nelfinavir,Site3m,Without_water,0.21989602,0,
Nelfinavir,Site3m,Without_water,0.23183867,0,
Nelfinavir,Site3m,Without_water,0.38325736,0.208748013,
NHC,Site1,Without_Water,0.000124024,0,
NHC,Site1,Without_Water,0.09643508,0,
NHC,Site1,Without_Water,0.121186376,0,
NHC,Site1,Without_Water,0.12253948,0.08507124,
Oroxylin_A,Site1,With_water,0,0,
Oroxylin_A,Site1,With_water,0.17469256,0,
Oroxylin_A,Site1,With_water,0.18420528,0,
Oroxylin_A,Site1,With_water,0.0993597,0.114564385,
Oroxylin_A,Site1,Without_water,0,0,
Oroxylin_A,Site1,Without_water,0.18877141,0,
Oroxylin_A,Site1,Without_water,0.11496761,0,
Oroxylin_A,Site1,Without_water,0.10306657,0.101701398,
Oroxylin_A,Site2,With_water,0.000169998,0,
Oroxylin_A,Site2,With_water,0.1047939,0,
Oroxylin_A,Site2,With_water,0.08964764,0,
Oroxylin_A,Site2,With_water,0.120692745,0.078826071,
Oroxylin_A,Site2,Without_water,0,0,
Oroxylin_A,Site2,Without_water,0.0971181,0,
Oroxylin_A,Site2,Without_water,0.16092247,0,
Oroxylin_A,Site2,Without_water,0.120411314,0.094612971,
Oroxylin_A,Site3d,With_water,0,0,
Oroxylin_A,Site3d,With_water,0.11566904,0,
Oroxylin_A,Site3d,With_water,0.12135956,0,
Oroxylin_A,Site3d,With_water,0.11823497,0.088815893,
Oroxylin_A,Site3d,Without_water,0.000240413,0,
Oroxylin_A,Site3d,Without_water,0.009943049,0,
Oroxylin_A,Site3d,Without_water,0.12947443,0,
Oroxylin_A,Site3d,Without_water,0.13301112,0.068167253,
Oroxylin_A,Site3m,With_water,0,0,
Oroxylin_A,Site3m,With_water,0.115890324,0,
Oroxylin_A,Site3m,With_water,0.11848487,0,
Oroxylin_A,Site3m,With_water,0.16827713,0.100663081,
Oroxylin_A,Site3m,Without_water,0,0,
Oroxylin_A,Site3m,Without_water,0.12884727,0,
Oroxylin_A,Site3m,Without_water,0.15790747,0,
Oroxylin_A,Site3m,Without_water,0.16374883,0.112625893,
Quercetin,Site1,With_Water,0,0,
