Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean
Rutin,Site1,Without_Water,0.000189704,0
Rutin,Site1,Without_Water,0.06415483,0
Rutin,Site1,Without_Water,0.04900873,0
Rutin,Site1,Without_Water,0.056284014,0.04240932
Rutin,Site2,Without_Water,0,0
Rutin,Site2,Without_Water,0.1974837,0
Rutin,Site2,Without_Water,0.06009225,0
Rutin,Site2,Without_Water,0.049347185,0.076730784
Rutin,Site3d,Without_Water,0,0
Rutin,Site3d,Without_Water,0.051262993,0
Rutin,Site3d,Without_Water,0.051660553,0
Rutin,Site3d,Without_Water,0.045689203,0.037153187
Rutin,Site3m,Without_Water,0,0
Rutin,Site3m,Without_Water,0.057281893,0
Rutin,Site3m,Without_Water,0.04268557,0
Rutin,Site3m,Without_Water,0.056487292,0.039113689
Scutellarein,Site1,Without_Water,0,0
Scutellarein,Site1,Without_Water,0.014192111,0
Scutellarein,Site1,Without_Water,0.45196313,0
Scutellarein,Site1,Without_Water,0.44381878,0.227493505
Scutellarein,Site2,Without_Water,0,0
Scutellarein,Site2,Without_Water,0.10371719,0
Scutellarein,Site2,Without_Water,0.4572357,0
Scutellarein,Site2,Without_Water,0.452876,0.253457223
Scutellarein,Site3d,Without_Water,0,0
Scutellarein,Site3d,Without_Water,0.03907861,0
Scutellarein,Site3d,Without_Water,0.4505637,0
Scutellarein,Site3d,Without_Water,0.44744995,0.234273065
Scutellarein,Site3m,Without_Water,0,0
Scutellarein,Site3m,Without_Water,0.051061425,0
Scutellarein,Site3m,Without_Water,0.44977713,0
Scutellarein,Site3m,Without_Water,0.44953224,0.237592699
Scutellarein,Site1,WOW,0,0
Scutellarein,Site1,WOW,0.45196313,0
Scutellarein,Site1,WOW,0.014192111,0
Scutellarein,Site1,WOW,0.44381878,0.227493505
Scutellarein,Site2,WOW,0,0
Scutellarein,Site2,WOW,0.4572357,0
Scutellarein,Site2,WOW,0.10371719,0
Scutellarein,Site2,WOW,0.452876,0.253457223
Theaflavin_Digallate,Site1,Without_Water,0,0
Theaflavin_Digallate,Site1,Without_Water,0.053465348,0
Theaflavin_Digallate,Site1,Without_Water,0.055505533,0
Theaflavin_Digallate,Site1,Without_Water,0.048789438,0.03944008
Theaflavin_Digallate,Site2,Without_Water,0,0
Theaflavin_Digallate,Site2,Without_Water,0.024347153,0
Theaflavin_Digallate,Site2,Without_Water,0.024778327,0
Theaflavin_Digallate,Site2,Without_Water,0.024577986,0.018425867
Theaflavin_Digallate,Site3d,Without_Water,0.000224039,0
Theaflavin_Digallate,Site3d,Without_Water,0.028480258,0
Theaflavin_Digallate,Site3d,Without_Water,0.0272969,0
Theaflavin_Digallate,Site3d,Without_Water,0.02545775,0.020364737
Theaflavin_Digallate,Site3m,Without_Water,0.000224039,0
Theaflavin_Digallate,Site3m,Without_Water,0.026300477,0
Theaflavin_Digallate,Site3m,Without_Water,0.024236608,0
Theaflavin_Digallate,Site3m,Without_Water,0.028680466,0.019860398
Wogonin,Site1,Without_Water,0,0
Wogonin,Site1,Without_Water,0.106040396,0
Wogonin,Site1,Without_Water,0.054661904,0
Wogonin,Site1,Without_Water,0.111717865,0.068105041
Wogonin,Site2,Without_Water,0,0
Wogonin,Site2,Without_Water,0.038802367,0
Wogonin,Site2,Without_Water,0.10118098,0
Wogonin,Site2,Without_Water,0.10330592,0.060822317
Wogonin,Site3d,Without_Water,0,0
Wogonin,Site3d,Without_Water,0.10816083,0
Wogonin,Site3d,Without_Water,0.01873593,0
Wogonin,Site3d,Without_Water,0.03081542,0.039428045
Wogonin,Site3m,Without_Water,0,0
Wogonin,Site3m,Without_Water,0.11099382,0
Wogonin,Site3m,Without_Water,0.10277131,0
Wogonin,Site3m,Without_Water,0.11211799,0.08147078
Wogonoside,Site1,Without_Water,0,0
Wogonoside,Site1,Without_Water,0.101564355,0
Wogonoside,Site1,Without_Water,0.309284,0
Wogonoside,Site1,Without_Water,0.3060808,0.179232289
Wogonoside,Site2,Without_Water,0.000224039,0
Wogonoside,Site2,Without_Water,0.07842894,0
Wogonoside,Site2,Without_Water,0.10833753,0
Wogonoside,Site2,Without_Water,0.11354723,0.075134435
