Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value,WOW,dG,Mean
Camostat,Site3d,With_Water,0.21435675,Repeat without water,-7.9,-7.925
Camostat,Site3d,Without_Water,0,With water,-7.6,0
Camostat,Site3d,Without_Water,0.2725477,Without water,-7.2,0
Camostat,Site3d,Without_Water,0.2808394,Reapeat with water,-7.6,0
Camostat,Site3d,Without_Water,0.310152,Repeat without water,-7.2,-7.4
Camostat,Site3m,With_Water,0.000334958,With water,-7.4,0
Camostat,Site3m,With_Water,0.03245121,Without water,-7.2,0
Camostat,Site3m,With_Water,0.008523352,Reapeat with water,-7.5,0
Camostat,Site3m,With_Water,0.054057103,Repeat without water,-7.2,-7.325
Camostat,Site3m,Without_Water,0.000236851,With water,-6.5,0
Camostat,Site3m,Without_Water,0.016254965,Without water,-6.4,0
Camostat,Site3m,Without_Water,0.015173272,Reapeat with water,-6.4,0
Camostat,Site3m,Without_Water,0.012311706,Repeat without water,-6.4,-6.425
Chrysin,Site1,With_Water,0.000150687,With water,-6.4,0
Chrysin,Site1,With_Water,0.114487216,Without water,-6.4,0
Chrysin,Site1,With_Water,0.039742786,Reapeat with water,-6.4,0
Chrysin,Site1,With_Water,0.039371397,Repeat without water,-6.4,-6.4
Chrysin,Site1,Without_Water,0,With water,-7.7,0
Chrysin,Site1,Without_Water,0.034282506,Without water,-7.6,0
Chrysin,Site1,Without_Water,0.032363318,Reapeat with water,-7.5,0
Chrysin,Site1,Without_Water,0.05233457,Repeat without water,-7.6,-7.6
Chrysin,Site2,With_Water,0,With water,-7.8,0
Chrysin,Site2,With_Water,0.045364756,Without water,-7.3,0
Chrysin,Site2,With_Water,0.042867698,Reapeat with water,-8,0
Chrysin,Site2,With_Water,0.035182077,Repeat without water,-7.2,-7.575
Chrysin,Site2,Without_Water,0,With water,-8.2,0
Chrysin,Site2,Without_Water,0.011546981,Without water,-8,0
Chrysin,Site2,Without_Water,0.048294377,Reapeat with water,-8.1,0
Chrysin,Site2,Without_Water,0.107986145,Repeat without water,-8.1,-8.1
Chrysin,Site3d,With_Water,0,With water,-8.3,0
Chrysin,Site3d,With_Water,0.10791063,Without water,-8.2,0
Chrysin,Site3d,With_Water,0.109731495,Reapeat with water,-8.4,0
Chrysin,Site3d,With_Water,0.11137696,Repeat without water,-8,-8.225
Chrysin,Site3d,Without_Water,0,With water,-7.2,0
Chrysin,Site3d,Without_Water,0.045637477,Without water,-7.7,0
Chrysin,Site3d,Without_Water,0.042243417,Reapeat with water,-7.5,0
Chrysin,Site3d,Without_Water,0.049954683,Repeat without water,-7.5,-7.475
Chrysin,Site3m,With_Water,0,With water,-7.7,0
Chrysin,Site3m,With_Water,0.024870181,Without water,-7.1,0
Chrysin,Site3m,With_Water,0.030895585,Reapeat with water,-7.6,0
Chrysin,Site3m,With_Water,0.040274855,Repeat without water,-7.5,-7.475
Chrysin,Site3m,Without_Water,0,With water,-7.6,0
Chrysin,Site3m,Without_Water,0.032833144,Without water,-7.6,0
Chrysin,Site3m,Without_Water,0.042630002,Reapeat with water,-7.6,0
Chrysin,Site3m,Without_Water,0.004278021,Repeat without water,-7.6,-7.6
Curcumin,Site1,With_Water,0,With water,-7.6,0
Curcumin,Site1,With_Water,0.19117512,Without water,-7.6,0
Curcumin,Site1,With_Water,0.22344744,Reapeat with water,-7.5,0
Curcumin,Site1,With_Water,0.17118204,Repeat without water,-7.5,-7.55
Curcumin,Site1,Without_Water,0,With water,-6.9,0
Curcumin,Site1,Without_Water,0.22894917,Without water,-6.6,0
Curcumin,Site1,Without_Water,0.058891855,Reapeat with water,-6.9,0
Curcumin,Site1,Without_Water,0.20791285,Repeat without water,-6.6,-6.75
