Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Hydroxychloroquine,Site2,With_Water,0.15756261,0,
Hydroxychloroquine,Site2,With_Water,0.14639708,0,
Hydroxychloroquine,Site2,With_Water,0.21372594,0.129421408,
Hydroxychloroquine,Site2,Without_Water,0.000135425,0,
Hydroxychloroquine,Site2,Without_Water,0.108902134,0,
Hydroxychloroquine,Site2,Without_Water,0.22034156,0,
Hydroxychloroquine,Site2,Without_Water,0.19645265,0.131457942,
Hydroxychloroquine,Site3d,With_Water,0,0,
Hydroxychloroquine,Site3d,With_Water,0.20875819,0,
Hydroxychloroquine,Site3d,With_Water,0.22539338,0,
Hydroxychloroquine,Site3d,With_Water,0.08128944,0.128860253,
Hydroxychloroquine,Site3d,Without_Water,0,0,
Hydroxychloroquine,Site3d,Without_Water,0.22403033,0,
Hydroxychloroquine,Site3d,Without_Water,0.19407204,0,
Hydroxychloroquine,Site3d,Without_Water,0.22204371,0.16003652,
Hydroxychloroquine,Site3m,With_Water,0.00019152,0,
Hydroxychloroquine,Site3m,With_Water,0.23691082,0,
Hydroxychloroquine,Site3m,With_Water,0.23209244,0,
Hydroxychloroquine,Site3m,With_Water,0.20751224,0.169176755,
Hydroxychloroquine,Site3m,Without_Water,0,0,
Hydroxychloroquine,Site3m,Without_Water,0.24358252,0,
Hydroxychloroquine,Site3m,Without_Water,0.15065533,0,
Hydroxychloroquine,Site3m,Without_Water,0.26388606,0.164530978,
Hypericin,Site1,WW,0.000147222,0,
Hypericin,Site1,WW,0.03904113,0,
Hypericin,Site1,WW,0.05685013,0,
Hypericin,Site1,WW,0.058756284,0.038698692,
Hypericin,Site1,WOW,0,0,
Hypericin,Site1,WOW,0.0484612,0,
Hypericin,Site1,WOW,0.047406964,0,
Hypericin,Site1,WOW,0.042532478,0.034600161,
Hypericin,Site2,WW,0,0,
Hypericin,Site2,WW,0.050019857,0,
Hypericin,Site2,WW,0.043292128,0,
Hypericin,Site2,WW,0.049471088,0.035695768,
Hypericin,Site2,WOW,0,0,
Hypericin,Site2,WOW,0.042765237,0,
Hypericin,Site2,WOW,0.048730593,0,
Hypericin,Site2,WOW,0.051475424,0.035742814,
Hyperoside,Site1,Without_Water,0,0,
Hyperoside,Site1,Without_Water,0.056800764,0,
Hyperoside,Site1,Without_Water,0.13623233,0,
Hyperoside,Site1,Without_Water,0.12773271,0.080191451,
Hyperoside,Site2,With_Water,0,0,
Hyperoside,Site2,With_Water,0.045145527,0,
Hyperoside,Site2,With_Water,0.05154864,0,
Hyperoside,Site2,With_Water,0.04566396,0.035589532,
Hyperoside,Site2,Without_Water,0,0,
Hyperoside,Site2,Without_Water,0.10167432,0,
