Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean
Rhein,Site2,Without_water,-5.937,0
Rhein,Site2,Without_water,0,-3.2905
Rhein,Site3d,Without_water,-6.753,0
Rhein,Site3d,Without_water,-6.752,0
Rhein,Site3d,Without_water,-7.15,0
Rhein,Site3d,Without_water,-6.777,-6.858
Rhein,Site3m,Without_water,-4.623,0
Rhein,Site3m,Without_water,-6.535,0
Rhein,Site3m,Without_water,-6.742,0
Rhein,Site3m,Without_water,-6.393,-6.07325
Ritonavir,Site1,Without_Water,-12.068,0
Ritonavir,Site1,Without_Water,-12.929,0
Ritonavir,Site1,Without_Water,-12.418,0
Ritonavir,Site1,Without_Water,-11.988,-12.35075
Ritonavir,Site2,Without_Water,-13.989,0
Ritonavir,Site2,Without_Water,-10.482,0
Ritonavir,Site2,Without_Water,-13.118,0
Ritonavir,Site2,Without_Water,-13.164,-12.68825
Ritonavir,Site3d,Without_Water,-12.317,0
Ritonavir,Site3d,Without_Water,-11.433,0
Ritonavir,Site3d,Without_Water,-11.151,0
Ritonavir,Site3d,Without_Water,-12.274,-11.79375
Ritonavir,Site3m,Without_Water,-9.427,0
Ritonavir,Site3m,Without_Water,-10.054,0
Ritonavir,Site3m,Without_Water,-9.838,0
Ritonavir,Site3m,Without_Water,-10.514,-9.95825
Rutin,Site1,Without_Water,-7.888,0
Rutin,Site1,Without_Water,-10.279,0
Rutin,Site1,Without_Water,-7.267,0
Rutin,Site1,Without_Water,-9.324,-8.6895
Rutin,Site2,Without_Water,-9.861,0
Rutin,Site2,Without_Water,-8.578,0
Rutin,Site2,Without_Water,-8.806,0
Rutin,Site2,Without_Water,-8.907,-9.038
Rutin,Site3d,Without_Water,-7.066,0
Rutin,Site3d,Without_Water,-8.999,0
Rutin,Site3d,Without_Water,-8.35,0
Rutin,Site3d,Without_Water,-7.909,-8.081
Rutin,Site3m,Without_Water,-6.134,0
Rutin,Site3m,Without_Water,-6.021,0
Rutin,Site3m,Without_Water,-5.721,0
Rutin,Site3m,Without_Water,-8.189,-6.51625
Theaflavin_Digallate,Site1,Without_water,-14.87,0
Theaflavin_Digallate,Site1,Without_water,-12.552,0
Theaflavin_Digallate,Site1,Without_water,-13.342,0
Theaflavin_Digallate,Site1,Without_water,-12.493,-13.31425
Theaflavin_Digallate,Site2,Without_water,-12.848,0
Theaflavin_Digallate,Site2,Without_water,-17.361,0
Theaflavin_Digallate,Site2,Without_water,-15.256,0
Theaflavin_Digallate,Site2,Without_water,0,-11.36625
Theaflavin_Digallate,Site3d,Without_water,-15.283,0
Theaflavin_Digallate,Site3d,Without_water,-14.875,0
Theaflavin_Digallate,Site3d,Without_water,-15.399,0
Theaflavin_Digallate,Site3d,Without_water,-14.529,-15.0215
Theaflavin_Digallate,Site3m,Without_water,-10.533,0
Theaflavin_Digallate,Site3m,Without_water,-12.176,0
Theaflavin_Digallate,Site3m,Without_water,-8.599,0
Theaflavin_Digallate,Site3m,Without_water,0,-7.827
Torvoside_H,Site1,Without_Water,-8.771,0
Torvoside_H,Site1,Without_Water,-7.52,0
Torvoside_H,Site1,Without_Water,-10.166,0
Torvoside_H,Site1,Without_Water,-9.588,-9.01125
Torvoside_H,Site2,Without_Water,-10.434,0
Torvoside_H,Site2,Without_Water,-7.696,0
Torvoside_H,Site2,Without_Water,-10.649,0
Torvoside_H,Site2,Without_Water,-11.586,-10.09125
Torvoside_H,Site3d,Without_Water,-9.77,0
Torvoside_H,Site3d,Without_Water,-11.055,0
Torvoside_H,Site3d,Without_Water,-10.061,0
Torvoside_H,Site3d,Without_Water,-9.872,-10.1895
Torvoside_H,Site3m,Without_Water,-8.297,0
Torvoside_H,Site3m,Without_Water,-7.412,0
Torvoside_H,Site3m,Without_Water,-2.91,0
Torvoside_H,Site3m,Without_Water,-9.81,-7.10725
Wogonin,Site1,Without_Water,-8.074,0
Wogonin,Site1,Without_Water,-7.876,0
Wogonin,Site1,Without_Water,-7.359,0
Wogonin,Site1,Without_Water,-6.434,-7.43575
Wogonin,Site2,Without_Water,-6.577,0
Wogonin,Site2,Without_Water,-7.036,0
Wogonin,Site2,Without_Water,-7.461,0
Wogonin,Site2,Without_Water,-6.617,-6.92275
Wogonin,Site3d,Without_Water,0,0
Wogonin,Site3d,Without_Water,-6.966,0
Wogonin,Site3d,Without_Water,-7.311,0
Wogonin,Site3d,Without_Water,-6.547,-5.206
Wogonin,Site3m,Without_Water,0,0
Wogonin,Site3m,Without_Water,-6.147,0
Wogonin,Site3m,Without_Water,-5.894,0
Wogonin,Site3m,Without_Water,-6.195,-4.559
Wogonoside,Site1,Without_Water,-9.705,0
Wogonoside,Site1,Without_Water,-6.739,0
